Symbol,Exchange,"Change 1m, %","Change 5m, %","Change 15m, %","Change 1h, %","Change 4h, %",Change %,Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,YTD Performance,Yearly Performance,1-Year Beta,Volatility
2013,HKEX,0.21008403,-0.41753653,0,0,-3.44129555,0.21008403,-7.01754386,81.23100304,122.8971963,128.8867562,71.09038737,408.5287847,1.7563448,11.01124045
6078,HKEX,0,0.07541478,0.07541478,-0.15048909,-0.37537538,0,4.7355992,40.42328042,44.8689988,128.7931035,35.96311754,,1.0529722,12.00644641
8083,HKEX,-0.27247956,-0.27247956,-0.54347826,0.2739726,-1.34770889,-0.27247956,-8.04020101,73.45971564,86.73469388,128.75,58.44155844,490.3225807,1.0266899,9.14285714
9923,HKEX,-0.06246096,-0.06246096,-0.24937656,0.81915564,-3.43995172,-0.06246096,39.25152064,120.6896552,77.77777778,128.2453703,112.7659688,,3.0481293,15.33333333
908,HKEX,0,0,0,0,0,0,31.25,53.125,45.54455446,124.4274809,49.23857868,153.4482759,0.31163505,0.34013605
968,HKEX,0,-0.11061947,-0.33112583,0.11086475,-4.34322034,0,-8.97177419,-6.03537492,40.43545879,121.595092,-10.81481481,200.4991681,0.9674077,9.59537572
327,HKEX,0,0.78947368,1.05540897,1.72642762,-1.9206146,0,-6.92588092,20.82018927,64.3776824,118.8571429,11.3372093,91.5,1.3464832,9.739369
1057,HKEX,0,-0.51282051,-1.02040816,0,-6.73076923,0,-20.49180328,45.86466165,115.5555556,117.9775281,30.20134228,102.0833333,1.3211731,20.55555556
2269,HKEX,-0.17730496,-0.08873114,-0.17730496,-0.44208665,-2.51082251,-0.17730496,-3.43053173,16.80497683,57.55613476,115.984884,9.53307393,236.1197341,1.1124135,7.20887246
992,HKEX,-0.41109969,0,0.20682523,1.57232704,-2.12121212,-0.41109969,7.0718232,34.02489627,96.55172414,115.8129176,32.37704918,69.70227671,1.3982674,7.37967914
520,HKEX,0.11820331,0.47449585,0.35545024,0.71343639,-3.08924485,0.11820331,-10.74815595,-1.96759827,23.28966521,115.5216285,-4.18552036,76.64233577,1.4289973,6.6344994
754,HKEX,0.24752475,0,0.74626866,0.99750623,-0.97799511,0.24752475,-11.3785558,6.91657302,0.49627792,114.9681529,2.47975709,149.3842365,1.0167243,6.16089613
1999,HKEX,-0.22321429,-0.55617353,-0.22321429,-0.88691796,-0.55617353,-0.22321429,-1.43329115,3.59212051,64.33823529,114.9038462,6.3020214,187.9227053,1.5992814,5.81395349
9922,HKEX,0.18315018,0.18315018,-0.18248175,-0.54545455,-4.86956522,0.18315018,-1.26354147,21.8262752,58.64269142,114.3416928,15.88983051,185.1929093,1.1757615,9.77443609
8487,HKEX,0,0,-0.51546392,-0.51546392,1.04712042,0,7.22222222,2.65957447,49.6124031,109.7826087,3.20855615,101.0416667,0.14450918,3.14136126
1463,HKEX,0.57471264,0,0,1.74418605,8.02469136,0.57471264,10.75949367,6.70731707,-29.43548387,105.8823529,8.02469136,,0.9663677,8.64197531
3868,HKEX,0,-0.2004008,0,-0.4,-3.86100386,0,-7.26256983,-3.48837209,31.74603175,105.785124,-5.32319392,126.3636364,0.386108,9.66386555
1810,HKEX,0,0.16694491,0,0.16694491,-1.31578947,0,-6.10328932,-3.6918138,40.18691589,104.9180328,-9.63855694,115.8273381,1.1522106,5.39629005
175,HKEX,0.15576324,-0.1552795,-0.1552795,-0.31007752,-3.74251497,0.15576324,-4.88165399,31.2244898,102.2012579,104.5165394,21.32075472,128.0141844,1.9227566,10.16129032
1907,HKEX,0,-0.91743119,-0.91743119,1.4084507,-3.78619154,0,20,54.83870968,98.16513761,102.8169014,56.52173913,71.42857143,0.5895248,13.59223301
316,HKEX,0.29112082,0.43731778,0,1.10051357,-6.13079019,0.29112082,-31.78217822,-8.56005066,109.4224797,102.6470588,-11.09677419,83.48868664,0.6446271,12.62282691
638,HKEX,0.74626866,0.74626866,0.74626866,2.27272727,-3.57142857,0.74626866,-4.92957746,56.97674419,95.65217391,101.4925373,31.06796117,62.65060241,1.4970055,9.375
3690,HKEX,-0.21505376,-0.21505376,-0.32223416,0.70537168,-1.95456947,-0.21505376,-0.21505376,42.76923077,32.57142857,100.6486487,26.0013535,242.7516159,1.1525384,5.6361635
826,HKEX,0,0.43478261,0.43478261,0.43478261,-3.54906054,0,19.07216495,37.09198813,85.54216867,98.2832618,33.52601156,59.31034483,0.8119128,9.2760181
1696,HKEX,-0.9469697,-0.9469697,-0.9469697,-1.32075472,-2.42537313,-0.9469697,58.48484848,57.53012048,117.9166667,98.10606061,58.0060423,27.56097561,1.3092986,4.89236791
1263,HKEX,0,0,0,0,-4.07523511,0,3.37837838,28.57142857,80,97.41935484,28.57142857,47.82608696,1.4896191,7.74410774
6862,HKEX,0.22042616,0.14684288,-0.29239766,0.44182622,-2.22222222,0.22042616,3.72623574,19.23076715,26.76580161,96.54178108,14.23785403,109.8461539,0.95708823,5.60181681
1137,HKEX,0.13157895,-0.1312336,0.13157895,0.52840159,-0.1312336,0.13157895,-4.875,38.36363636,25.57755776,95.12820513,33.27495622,300.5263158,0.64988256,6.19834711
2099,HKEX,0,0.625,0.249066,0.625,8.63697706,0,32.61943987,42.98401421,66.83937824,94.20989144,44.26523297,142.8355958,1.3496416,10.22576361
710,HKEX,0.73170732,0.73170732,0.97799511,1.47420147,0.24271845,0.73170732,36.30363036,57.63358779,45.93639576,93.89671362,44.9122807,65.2,1.0233577,13.15789474
208,HKEX,0,0,0,0,-0.67567568,0,56.38297872,70.93023256,126.1538462,93.42105263,67.04545455,47,0.6866702,0.68027211
2866,HKEX,0,0,-0.64516129,-0.64516129,-4.34782609,0,-3.75,19.37984496,79.06976744,92.5,22.22222222,65.59139785,1.4209602,7.28476821
2899,HKEX,0.10416667,0.20855057,0,0.3131524,-1.93877551,0.10416667,-2.13849287,11.0982659,65.68965517,92.2,9.45330296,149.6103896,1.3180438,7.01943844
2331,HKEX,0,0.20746888,0.20746888,0.20746888,-4.16666667,0,-12.18181818,-6.39534521,17.51825389,91.66665906,-9.38086134,80.22388732,1.4318422,8.15451073
1801,HKEX,0.05373455,0.05373455,0.10752688,0.10752688,-2.25721785,0.05373455,-10.13513514,26.23728814,49.19871317,91.56379389,13.46739378,196.4968153,0.98286265,7.61111111
771,HKEX,0,1.30718954,0.64935065,1.30718954,0,0,21.09375,17.42424242,22.04724409,91.35802469,15.67164179,55,0.90246785,5.33333333
1072,HKEX,0.12594458,0.25220681,-0.12562814,-0.37593985,0.25220681,0.12594458,13.57142857,40.21164021,36.13013699,91.10576923,40.21164021,72.82608696,1.1441436,8.72913992
1415,HKEX,0,0,0,0,0,0,0,0.17152659,60.8815427,90.8496732,0,157.2687225,2.1213274,0.34305317
6969,HKEX,0.249066,0.43668122,0.31152648,1.13065327,0.625,0.249066,7.33333333,35.29411765,100.498122,90.75828932,34.50292847,,0.7263978,8.50636303
1798,HKEX,0,0,0,1.1299435,-4.27807487,0,-4.27807487,45.52845528,57.01754386,90.42553191,46.72131148,135.5263158,1.5772617,9.77011494
1829,HKEX,0,0,0,0,0.28328612,0,0.56818182,129.8701299,126.9230769,90.32258065,72.68292683,9.9378882,1.6561909,0.56657224
921,HKEX,-0.1345895,-0.1345895,-1.19840213,-0.66934404,-3.38541667,-0.1345895,-8.95704963,35.8974359,49.29577465,90.25641026,24.2881072,64.34108527,1.0160648,6.31868132
2039,HKEX,0,0,0,-0.4178273,-1.37931034,0,-1.37931034,20.57335582,32.40740741,90.15957447,26.54867257,84.75452196,1.1184509,9.78915663
1662,HKEX,0,0,0,0,0,0,-0.63492063,0.64308682,3.30033003,89.6969697,0,66.4893617,0.10673802,1.29032258
1588,HKEX,0.20833333,0.20833333,1.90677966,1.90677966,-5.31496063,0.20833333,10.32110598,117.4502713,84.43251534,89.66876972,94.26494346,199.1293532,1.0350858,16.13636364
1611,HKEX,0.26631158,0.80321285,1.20967742,1.20967742,2.44897959,0.26631158,-9.60384154,42.88425047,96.09375,88.25,21.64781906,124.7761194,1.5160539,9.44992948
6093,HKEX,0,0,-0.80321285,-0.80321285,-2.3715415,0,-1.2,17.06161137,23.5,87.12121212,17.06161137,76.42857143,0.50989383,3.2388664
354,HKEX,0.2020202,0.4048583,0.2020202,0.50658561,0.7106599,0.2020202,3.87434555,29.50391645,69.28327645,85.42056075,14.68208092,91.8762089,1.819776,8.44155844
3888,HKEX,-0.23130301,-0.46153846,-0.15432099,-0.07722008,0.3878976,-0.23130301,3.60288065,54.41526709,57.99755414,84.85714286,29.4,157.2564612,1.4638801,6.60225443
3759,HKEX,0.0635324,0,-0.88105727,-0.63091483,-4.13877054,0.0635324,-0.94339623,24.80190174,47.33395697,84.21052632,20.22900763,199.4296692,1.0866303,6.68831169
1989,HKEX,0,0,0,0,1.75438596,0,-6.4516129,-22.66666667,-29.26829268,84.12698413,-20,56.75675676,1.4710515,5.17241379
2020,HKEX,-0.15151515,-0.07581501,-0.30257186,-0.60331825,-1.05105105,-0.15151515,-4.83754513,10.2006689,50.88723872,83.82148607,7.24165989,71.83833788,1.5599142,4.0625
580,HKEX,0.33444816,0.33444816,0.67114094,1.01010101,-5.66037736,0.33444816,7.52688172,63.93442623,93.5483871,82.92682927,41.50943396,141.9354839,0.9427295,15.41218638
868,HKEX,-0.49019608,-0.49019608,0,0.24691358,-0.73349633,-0.49019608,2.21550341,-4.47058824,23.3292906,82.88288288,-6.23556582,82.55395683,0.6795123,6.91987513
1090,HKEX,0,0,0,0,0,0,-3.19634703,-7.82608696,23.97660819,82.75862069,-9.4017094,3.92156863,0.8818828,0
268,HKEX,0,0,-0.30769231,0,-0.91743119,0,0.1545657,19.11764268,57.66424125,81.81818182,2.53164557,240.3360987,1.0215815,7.23472669
1347,HKEX,0.20242915,-0.9009009,-0.9009009,0.10111223,-6.42722117,0.20242915,0.50761421,10.49107389,73.68421053,80.65693431,12.5,123.476298,1.861745,13.68421053
179,HKEX,-0.4048583,-0.4048583,-0.20283976,0.20366599,-1.40280561,-0.4048583,-5.92734226,24.62006079,47.83654735,79.8245614,28.12499333,28.79581152,1.3664814,2.65306122
973,HKEX,0.44052863,0.21978022,-0.43668122,1.78571429,18.38006231,0.44052863,16.68371972,17.04312115,56.59340659,78.68338558,18.01242236,28.81355204,1.3488489,18.88888889
9926,HKEX,0,0.77821012,0.48496605,0.87633885,-6.66666667,0,-6.15942199,44.49094251,115.3846243,78.62068966,36.31578947,,0.7605402,14.46028513
1283,HKEX,-0.64935065,-0.64935065,-1.92307692,-1.92307692,-1.92307692,-0.64935065,-11.56069364,-9.46745562,-32,77.90697674,-15.93406593,183.3333333,0.49617177,3.94736842
3993,HKEX,-0.18416206,-0.18416206,-0.55045872,-0.18416206,-3.90070922,-0.18416206,-4.74516696,11.52263374,89.51048951,77.12418301,7.11462451,60.35502959,1.772664,9.28030303
189,HKEX,-0.16638935,-0.16638935,-0.49751244,-0.33222591,-2.91262136,-0.16638935,-3.84615385,7.52688172,91.69329073,76.99115044,-2.43902439,44.57831325,1.6381855,8.96551724
